graph_n1024_dim0.json: n=1024 dim=0  MST weight = 1.248120
graph_n1024_dim1.json: n=1024 dim=1  MST weight = 63.511975
graph_n1024_dim2.json: n=1024 dim=2  MST weight = 20.839684
graph_n1024_dim3.json: n=1024 dim=3  MST weight = 68.299432
graph_n1024_dim4.json: n=1024 dim=4  MST weight = 127.773431
graph_n128_dim0.json: n=128 dim=0  MST weight = 1.061656
graph_n128_dim1.json: n=128 dim=1  MST weight = 10.796530
graph_n128_dim2.json: n=128 dim=2  MST weight = 7.778590
graph_n128_dim3.json: n=128 dim=3  MST weight = 18.710556
graph_n128_dim4.json: n=128 dim=4  MST weight = 29.384054
graph_n16384_dim1.json: n=16384 dim=1  MST weight = 731.465989
graph_n2048_dim0.json: n=2048 dim=0  MST weight = 1.201906
graph_n2048_dim1.json: n=2048 dim=1  MST weight = 117.546546
graph_n2048_dim2.json: n=2048 dim=2  MST weight = 29.983901
graph_n2048_dim3.json: n=2048 dim=3  MST weight = 107.585153
graph_n2048_dim4.json: n=2048 dim=4  MST weight = 217.231169
graph_n256_dim0.json: n=256 dim=0  MST weight = 1.065221
graph_n256_dim1.json: n=256 dim=1  MST weight = 22.983683
graph_n256_dim2.json: n=256 dim=2  MST weight = 11.131338
graph_n256_dim3.json: n=256 dim=3  MST weight = 27.735873
graph_n256_dim4.json: n=256 dim=4  MST weight = 46.932631
graph_n4096_dim1.json: n=4096 dim=1  MST weight = 219.510328
graph_n512_dim0.json: n=512 dim=0  MST weight = 1.232016
graph_n512_dim1.json: n=512 dim=1  MST weight = 36.003497
graph_n512_dim2.json: n=512 dim=2  MST weight = 14.682386
graph_n512_dim3.json: n=512 dim=3  MST weight = 42.825990
graph_n512_dim4.json: n=512 dim=4  MST weight = 77.944109
graph_n8192_dim1.json: n=8192 dim=1  MST weight = 397.602340
